Dấu thời gian,Mã số Sinh Viên (VD: 11247123),Giới Tính,Chuyên Ngành,Lớp (VD: AI66B),"XÁC NHẬN THAM GIA NGHIÊN CỨU
Tôi xác nhận đã đọc và hiểu đầy đủ thông tin về nghiên cứu này.
Tôi hiểu rằng việc tham gia là hoàn toàn tự nguyện và tôi có thể dừng khảo sát bất kỳ lúc nào.
Tôi đồng ý cho phép nhóm nghiên cứu sử dụng dữ liệu (đã được mã hóa và bảo mật) cho mục đích nghiên cứu khoa học.","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Tôi cảm thấy kiệt sức về mặt cảm xúc.]","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Chỉ cần nghĩ đến việc phải mở sách vở ra là tôi đã thấy nản lòng.]","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Tôi có cảm giác mình đang bị quá tải bởi khối lượng kiến thức.]","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Tôi thấy mình khó duy trì động lực học tập.]","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Tôi vẫn thấy hào hứng và có thể giải quyết các bài tập khó trong giai đoạn đó.]",Trong cùng giai đoạn: [Tôi cảm thấy căng thẳng liên tục.],Trong cùng giai đoạn: [Tôi dễ bị kích động hoặc cáu gắt.],Trong cùng giai đoạn: [Đầu óc tôi không thể thả lỏng ngay cả khi nghỉ ngơi.],Trong cùng giai đoạn: [Tôi cảm thấy mình luôn trong trạng thái “phải chạy đua với thời gian”.],Trong cùng giai đoạn: [Tôi cảm thấy khá bình tĩnh khi đối mặt với kỳ thi.],Trung bình bạn ngủ bao nhiêu giờ mỗi đêm?,Bạn mất bao lâu để chìm vào giấc ngủ?,"Trong giai đoạn ôn thi vừa qua, tình trạng giấc ngủ của bạn:   [Bạn có thường xuyên thức giấc giữa đêm không? ]","Trong giai đoạn ôn thi vừa qua, tình trạng giấc ngủ của bạn:   [Bạn có cảm thấy ngủ không đủ giấc? ]","Trong giai đoạn ôn thi vừa qua, tình trạng giấc ngủ của bạn:   [Bạn có buồn ngủ ban ngày khi học? ]","Trong giai đoạn ôn thi vừa qua, tình trạng giấc ngủ của bạn:   [Bạn có dùng thuốc/đồ uống kích thích để thức học? ]",Trong giai đoạn đó: [Tôi sử dụng điện thoại/laptop trong vòng 30 phút trước khi ngủ.],Trong giai đoạn đó: [Tôi đi ngủ vào giờ không cố định mỗi ngày.],Trong giai đoạn đó: [Tôi học bài trên giường ngủ.],Trong giai đoạn đó: [Tôi phải uống cà phê/trà vào buổi tối để học.],Trong giai đoạn đó: [Tôi suy nghĩ nhiều về bài vở khi đã lên giường.],Trong quá trình ôn tập: [Tôi cảm thấy số lượng bài tập và dự án nhóm trong học kỳ này là quá lớn đối với khả năng của mình.],Trong quá trình ôn tập: [Tôi thường xuyên phải thức khuya hoặc sử dụng thời gian nghỉ ngơi để kịp hoàn thành deadline.],"Trong quá trình ôn tập: [Các bài kiểm tra và thời hạn nộp bài thường dồn dập vào cùng một thời điểm, khiến tôi không kịp xoay xở.]",Trung bình mỗi ngày bạn học bao nhiêu giờ?,Bạn có nộp bài trễ trong giai đoạn đó không? ,Bạn thường học vào khung giờ nào?,Bạn có giảm tần suất vào LMS so với đầu học kì hay không?,Bạn sử dụng hệ thống LMS để phục vụ việc học với tần suất như thế nào?  ,Xếp loại học tập của bạn trong học kỳ gần nhất (học kỳ thi trong giai đoạn khảo sát) là gì?,"Trong quá trình học tập, các mô tả sau phản ánh mức độ áp lực tài chính của bạn ở mức độ nào? [Tôi lo lắng về vấn đề tài chính trong giai đoạn đó.]","Trong quá trình học tập, các mô tả sau phản ánh mức độ áp lực tài chính của bạn ở mức độ nào? [Tôi phải làm thêm để trang trải chi phí học tập/sinh hoạt.]","Trong quá trình học tập, các mô tả sau phản ánh mức độ áp lực tài chính của bạn ở mức độ nào? [Áp lực tài chính ảnh hưởng đến việc học của tôi.]","Trong quá trình học tập, các mô tả sau phản ánh mức độ áp lực tài chính của bạn ở mức độ nào? [Tôi cảm thấy thu nhập/tiền hỗ trợ không đủ đáp ứng nhu cầu.]","Để đảm bảo chất lượng khảo sát, vui lòng chọn mức ‘Thường xuyên’ cho câu hỏi này.",Bạn cảm thấy mức độ stress hiện tại so với giai đoạn thi là:
19/03/2026 17:45:12,11247269,Nam,Trí Tuệ Nhân Tạo,AI66A,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,4,4,4,4,2,< 5h,> 60p,2,4,4,3,4,4,0,4,4,4,4,4,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thỉnh thoảng sử dụng,Xuất sắc,4,1,4,4,Thường xuyên,Cao hơn
19/03/2026 17:46:50,11254023,Nam,Trí Tuệ Nhân Tạo,AI67C,Tôi đồng ý tham gia khảo sát,2,3,3,3,4,1,0,2,2,0,6 - 7h,15 - 30p,0,0,2,0,3,2,3,0,3,2,1,2,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thỉnh thoảng sử dụng,Khá,2,0,1,0,Thường xuyên,Thấp hơn
19/03/2026 17:48:59,11247256,Nam,Trí Tuệ Nhân Tạo,AI66A,Tôi đồng ý tham gia khảo sát,2,2,2,2,2,2,0,0,2,3,5 - 6h,< 15p,0,3,2,0,2,3,2,0,0,2,3,2,Dưới 1 tiếng,Tôi luôn nộp bài trước hạn,Không học,Không,Thỉnh thoảng sử dụng,Khá,0,0,0,0,Thường xuyên,Thấp hơn
19/03/2026 17:50:27,11256381,Nam,Trí Tuệ Nhân Tạo,AI67B,Tôi đồng ý tham gia khảo sát,4,3,4,3,0,2,1,2,4,1,5 - 6h,> 60p,0,3,0,0,4,4,0,0,4,4,1,2,Dưới 1 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Có,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Khá,0,0,0,1,Thường xuyên,Thấp hơn
19/03/2026 17:51:47,11247291,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,1,1,2,1,1,1,0,0,1,1,6 - 7h,15 - 30p,1,0,1,0,2,2,0,0,1,3,1,3,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Khá,2,1,1,0,Thường xuyên,Tương đương
19/03/2026 17:53:15,11253986,Nam,Trí Tuệ Nhân Tạo,AI67C,Tôi đồng ý tham gia khảo sát,2,0,2,3,1,2,1,1,3,2,6 - 7h,15 - 30p,0,0,0,0,4,3,0,0,3,1,1,2,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thường xuyên sử dụng,Khá,2,1,1,1,Thường xuyên,Cao hơn
19/03/2026 17:54:58,11247298,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,3,1,3,2,2,4,2,3,3,2,7 - 8h,< 15p,1,3,1,0,4,2,3,0,3,4,4,3,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thường xuyên sử dụng,Giỏi,1,0,1,1,Thường xuyên,Cao hơn
19/03/2026 17:56:36,11247355,Nữ,Trí Tuệ Nhân Tạo,AI66A,Tôi đồng ý tham gia khảo sát,2,4,3,3,2,2,3,2,3,2,< 5h,30 - 60p,3,3,4,2,4,2,0,2,2,4,4,4,Dưới 1 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Có,Thỉnh thoảng sử dụng,Khá,2,0,1,2,Thường xuyên,Tương đương
19/03/2026 21:37:18,11256353,Nữ,Khoa Học Dữ Liệu,DS67A,Tôi đồng ý tham gia khảo sát,3,3,1,1,2,3,3,4,4,1,7 - 8h,15 - 30p,0,3,4,0,1,2,4,0,4,2,2,3,1 - 2 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Không,Thường xuyên sử dụng,Xuất sắc,0,0,2,0,Thường xuyên,Tương đương
20/03/2026 15:51:42,11253829,Nam,Trí Tuệ Nhân Tạo,AI67B,Tôi đồng ý tham gia khảo sát,0,2,1,1,2,0,0,0,0,0,7 - 8h,< 15p,4,4,0,0,4,4,0,0,4,3,4,2,2 - 4 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Không,Thường xuyên sử dụng,Khá,0,0,0,0,Thường xuyên,Thấp hơn nhiều
23/03/2026 9:59:44,11255525,Nam,Trí Tuệ Nhân Tạo,AI67B,Tôi đồng ý tham gia khảo sát,2,2,2,2,2,3,1,1,1,3,< 5h,30 - 60p,3,4,2,0,4,4,1,1,2,1,3,2,Dưới 1 tiếng,Thường xuyên trễ hạn,Không học,Có,Tôi không bao giờ sử dụng,Khá,2,2,2,2,Thường xuyên,Tương đương
30/03/2026 15:37:21,11247148,Nam,Khoa Học Dữ Liệu,DS66B,Tôi đồng ý tham gia khảo sát,4,2,4,2,0,3,4,2,4,1,5 - 6h,> 60p,2,4,1,2,4,4,0,1,4,3,4,4,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Khá,0,0,0,4,Thường xuyên,Thấp hơn
30/03/2026 15:38:55,11247136,Nữ,Khoa Học Dữ Liệu,DS66B,Tôi đồng ý tham gia khảo sát,4,2,3,2,2,3,4,4,4,0,5 - 6h,< 15p,0,2,0,0,4,4,0,0,0,3,2,3,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Giỏi,2,0,0,0,Thường xuyên,Thấp hơn nhiều
30/03/2026 15:40:06,11247213,Nam,Khoa Học Dữ Liệu,DS66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,4,4,4,4,0,< 5h,> 60p,4,4,4,4,0,0,0,0,0,4,4,4,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Có,Tôi không bao giờ sử dụng,Khá,0,0,0,0,Thường xuyên,Thấp hơn
30/03/2026 15:44:12,11247211,Nam,Khoa Học Dữ Liệu,DS66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,3,0,4,4,0,7 - 8h,> 60p,0,2,4,4,4,4,0,4,4,3,3,3,2 - 4 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Khá,4,4,4,4,Thường xuyên,Thấp hơn nhiều
30/03/2026 15:45:49,11247131,Nam,Khoa Học Dữ Liệu,DS66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,4,4,4,4,4,4,< 5h,> 60p,4,4,4,4,4,4,4,4,4,4,4,4,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Giỏi,4,4,4,4,Thường xuyên,Cao hơn
30/03/2026 16:30:20,11247158,Nữ,Khoa Học Dữ Liệu,DS66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,3,1,4,1,1,1,< 5h,15 - 30p,4,4,4,4,4,4,0,4,2,4,4,4,Trên 4 tiếng,Thường xuyên trễ hạn,Trước 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Giỏi,4,4,4,4,Thường xuyên,Cao hơn
30/03/2026 23:09:08,11247231,Nam,Khoa Học Dữ Liệu,DS66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,1,4,3,3,4,2,6 - 7h,15 - 30p,3,3,4,4,4,4,0,4,3,4,4,4,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thỉnh thoảng sử dụng,Khá,0,0,0,0,Thường xuyên,Tương đương
